CREATOR: TEX EINZEL 09-12-06
 $  
 $ Messprogramm      : Haematit-104-110.prg
 $  
 $ Messdatendatei    : ST42-104-110.dat
 $  
 $  
 $ Messdauerwahl     :  Monitor
 $ Time - Out nach   :  999 Sekunden
 $ Startposition     :  Theta:     26,400�
 $                      Omega:     13,200�
 $                      Chi  :     90,000�
 $                      Phi  :      0,000�
 $                      Messzeit:  400000
 $ Temperatur        :   0,000�C
 $ Detektor          :  finger
 $  
 $ Me�programm Dokumentation:
 $ --------------------------
 $  104-110 Polfiguren, H�matit, magnetische Probe, ST42, Projekt Siemes,
 $  Blende1 (18 mm), Blende2 Soller, Abstand Probe - Detektor = 0,65 m 
 $  Graphitmonochromator, 6x6, Wellenl�nge 1,239 A, Detektorblende 20x40,
 $  
 $  
 $  
 $  
 $  
 $  
 $  
 $  
 $  
 $  
 $  
 $  
 $  
 $  

 $  
 $  $$ Table
 $  3	3	3	3	3	3	3
 $  2	0	0	0	120		
 $  1	0	0	-5,4	60		
 $  5	0	0	0	-60		
 $  1	0	0	-5,42	0		
 $  11	0	0	0	30		
 $  1	0	0	-5,44	10		
 $  17	0	0	0	-20		
 $  1	0	0	-5,48	0		
 $  23	0	0	0	15		
 $  1	0	0	-5,53	3		
 $  29	0	0	0	-12		
 $  1	0	0	-5,59	0		
 $  35	0	0	0	10		
 $  1	0	0	-5,68	1,43		
 $  41	0	0	0	-8,57		
 $  1	0	0	-5,77	0		
 $  47	0	0	0	7,5		
 $  1	0	0	-5,9	0,83		
 $  53	0	0	0	-6,67		
 $  1	0	0	-6,04	0		
 $  59	0	0	0	6,0		
 $  1	0	0	-6,22	0,55		
 $  65	0	0	0	-5,45		
 $  1	0	0	-6,43	0		
 $  71	0	0	0	5		
 $  1	0	0	-6,69	0,38		
 $  77	0	0	0	-4,62		
 $  1	0	0	-7,0	0		
 $  83	0	0	0	4,29		
 $  1	0	0	-7,41	0,33		
 $  45	0	0	0	-4,0		
 $  1	-4,0	-2,0	90	-176,22		
 $  1	0	0	-5,4	0		
 $  1	0	0	-5,42	0		
 $  1	0	0	-5,44	0		
 $  1	0	0	-5,48	0		
 $  1	0	0	-5,53	0		
 $  1	0	0	-5,59	0		
 $  1	0	0	-5,68	0		
 $  1	0	0	-5,77	0		
 $  1	0	0	-5,9	0		
 $  1	0	0	-6,04	0		
 $  1	0	0	-6,22	0		
 $  1	0	0	-6,43	0		
 $  1	0	0	-6,69	0		
 $  1	0	0	-7,0	0		
 $  1	0	0	-7,41	0		
 $  1	6,0	3,0	90	0	500000	
 $  2	0	0	0	120		
 $  1	0	0	-5,4	60		
 $  5	0	0	0	-60		
 $  1	0	0	-5,42	0		
 $  11	0	0	0	30		
 $  1	0	0	-5,44	10		
 $  17	0	0	0	-20		
 $  1	0	0	-5,48	0		
 $  23	0	0	0	15		
 $  1	0	0	-5,53	3		
 $  29	0	0	0	-12		
 $  1	0	0	-5,59	0		
 $  35	0	0	0	10		
 $  1	0	0	-5,68	1,43		
 $  41	0	0	0	-8,57		
 $  1	0	0	-5,77	0		
 $  47	0	0	0	7,5		
 $  1	0	0	-5,9	0,83		
 $  53	0	0	0	-6,67		
 $  1	0	0	-6,04	0		
 $  59	0	0	0	6,0		
 $  1	0	0	-6,22	0,55		
 $  65	0	0	0	-5,45		
 $  1	0	0	-6,43	0		
 $  71	0	0	0	5		
 $  1	0	0	-6,69	0,38		
 $  77	0	0	0	-4,62		
 $  1	0	0	-7,0	0		
 $  83	0	0	0	4,29		
 $  1	0	0	-7,41	0,33		
 $  45	0	0	0	-4,0		
 $  1	1,2	0,6	90	-176,22		
 $  1	0	0	-5,4	0		
 $  1	0	0	-5,42	0		
 $  1	0	0	-5,44	0		
 $  1	0	0	-5,48	0		
 $  1	0	0	-5,53	0		
 $  1	0	0	-5,59	0		
 $  1	0	0	-5,68	0		
 $  1	0	0	-5,77	0		
 $  1	0	0	-5,9	0		
 $  1	0	0	-6,04	0		
 $  1	0	0	-6,22	0		
 $  1	0	0	-6,43	0		
 $  1	0	0	-6,69	0		
 $  1	0	0	-7,0	0		
 $  1	0	0	-7,41	0		
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  						
 $  
          1   26.4000   13.2000   90.0000    0.0000         520            0            0       400000        21458     00:18.64
          2   26.4000   13.2000   90.0000  120.0000         515            0            0       400000        21547     00:18.56
          3   26.4000   13.2000   90.0000  240.0000         517            0            0       400000        21434     00:18.66
          4   26.4000   13.2000   84.6000  300.0000         517            0            0       400000        21460     00:18.64
          5   26.4000   13.2000   84.6000  240.0000         530            0            0       400000        21471     00:18.63
          6   26.4000   13.2000   84.6000  180.0000         573            0            0       400000        21484     00:18.62
          7   26.4000   13.2000   84.6000  120.0000         564            0            0       400000        21473     00:18.63
          8   26.4000   13.2000   84.6000   60.0000         542            0            0       400000        21418     00:18.68
